created_at,temperature,humidity,motion,gas,is_night,motion_duration_sec
2026-06-21T12:45:41.184342,29.7,69.0,0,0,0,0
2026-06-21T12:45:45.195538,29.2,69.0,0,0,0,0
2026-06-21T12:45:45.196545,29.1,69.0,0,0,0,0
2026-06-21T12:45:47.198521,29.2,68.0,0,0,0,0
2026-06-21T12:45:49.198764,29.0,69.0,0,0,0,0
2026-06-21T12:45:53.214686,29.0,68.0,0,0,0,0
2026-06-21T12:45:53.216706,29.9,68.0,0,0,0,0
2026-06-21T12:45:55.205942,29.1,68.0,1,0,0,0
2026-06-21T12:45:59.230563,29.9,68.0,0,0,0,0
2026-06-21T12:46:01.237758,29.8,68.0,0,0,0,0
2026-06-21T12:46:03.242828,29.9,68.0,1,0,0,0
2026-06-21T12:46:05.239612,29.1,68.0,0,0,0,0
2026-06-21T12:46:07.252884,29.8,68.0,1,0,0,0
2026-06-21T12:46:09.256669,29.8,68.0,0,0,0,0
2026-06-21T12:46:11.264484,29.7,68.0,0,0,0,0
2026-06-21T12:46:13.269116,29.0,68.0,0,0,0,0
2026-06-21T12:46:15.274103,29.1,68.0,0,0,0,0
2026-06-21T12:46:17.280303,29.3,68.0,0,0,0,0
2026-06-21T12:46:19.285273,29.5,68.0,0,0,0,0
2026-06-21T12:46:21.289673,29.8,68.0,0,0,0,0
2026-06-21T12:46:23.296626,29.9,68.0,0,0,0,0
2026-06-21T12:46:25.288922,29.3,68.0,0,0,0,0
2026-06-21T12:46:27.305696,29.4,68.0,0,0,0,0
2026-06-21T12:46:29.310761,29.5,68.0,0,0,0,0
2026-06-21T12:46:31.304117,29.7,68.0,0,0,0,0
2026-06-21T12:46:35.321019,29.8,68.0,0,0,0,0
2026-06-21T12:46:35.321019,29.9,68.0,0,0,0,0
2026-06-21T12:46:39.337683,29.5,68.0,0,0,0,0
2026-06-21T12:46:39.338049,29.2,68.0,0,0,0,0
2026-06-21T12:46:41.340881,29.2,68.0,0,0,0,0
2026-06-21T12:46:43.345310,29.6,68.0,1,0,0,0
2026-06-21T12:46:45.350642,29.5,68.0,0,0,0,0
2026-06-21T12:46:47.355636,29.7,68.0,0,0,0,0
2026-06-21T12:46:49.361007,29.1,68.0,0,0,0,0
2026-06-21T12:46:51.366077,29.7,68.0,1,0,0,0
2026-06-21T12:46:53.371878,29.5,68.0,1,0,0,3
2026-06-21T12:46:55.376888,29.0,68.0,1,0,0,0
2026-06-21T12:46:57.381571,29.2,68.0,0,0,0,0
2026-06-21T12:46:59.387646,29.7,68.0,1,0,0,0
2026-06-21T12:47:01.392637,29.8,68.0,0,0,0,0
2026-06-21T12:47:03.396846,29.6,68.0,0,0,0,0
2026-06-21T12:47:05.401712,29.0,68.0,0,0,0,0
2026-06-21T12:47:07.408427,29.3,68.0,0,0,0,0
2026-06-21T12:47:09.413782,29.2,68.0,0,0,0,0
2026-06-21T12:47:11.418543,29.1,68.0,0,0,0,0
2026-06-21T12:47:13.423531,29.7,68.0,1,0,0,0
2026-06-21T12:47:15.429395,29.9,68.0,1,0,0,2
2026-06-21T12:47:17.434306,29.8,68.0,1,0,0,3
2026-06-21T12:47:19.441279,29.2,68.0,0,0,0,0
2026-06-21T12:47:23.450518,29.0,68.0,0,0,0,0
2026-06-21T12:47:23.451424,29.4,68.0,0,0,0,0
2026-06-21T12:47:27.461782,29.3,68.0,1,0,0,0
2026-06-21T12:47:27.462776,29.0,68.0,1,0,0,2
2026-06-21T12:47:31.472148,29.9,68.0,1,0,0,0
2026-06-21T12:47:31.473126,29.2,68.0,0,0,0,0
2026-06-21T12:47:33.478336,29.3,68.0,1,0,0,0
2026-06-21T12:47:35.482850,29.2,68.0,1,0,0,0
2026-06-21T12:47:39.492893,29.3,68.0,1,0,0,3
2026-06-21T12:47:39.493891,29.4,68.0,1,0,0,5
2026-06-21T12:47:43.505133,29.5,68.0,1,0,0,7
2026-06-21T12:47:43.506126,29.8,68.0,0,0,0,0
2026-06-21T12:47:47.514119,29.7,68.0,1,0,0,0
2026-06-21T12:47:47.515143,29.6,68.0,1,0,0,2
