created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,class,reason
2026-06-21T01:18:01.723145,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:03.729554,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:05.734093,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:07.739530,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:09.746721,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:11.752067,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:15.764766,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:15.765761,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:17.771695,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:19.777269,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:21.783513,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:23.787574,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:25.793607,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:27.800820,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:31.811738,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:31.815194,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:33.819274,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:35.824634,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:37.830391,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:39.836670,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:41.842716,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:43.849457,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:45.855897,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:47.860342,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:49.866471,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:51.872620,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:55.884754,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:55.885779,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:57.891089,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:18:59.895698,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:01.901795,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:03.907331,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:07.919627,31.9,57.0,0,0,0,1,0,1,warm
